ride_id,bus_code,direction,name,deviation_seconds,updated_at,scheduled_timestamp,snapshot_time
4a8a8865-2806-4f83-869e-bda601b25a60,501,Turin (Vittorio Emanuele),Turin - Naples,0.0,2026-05-20T16:12:24Z,2026-05-20T17:55:00Z,2026-05-20T18:18:17
c36a991e-02a2-4da2-b7b0-6a0bf3f1979f,N758,Barcelona (Bus Terminal Nord),Florence - Barcelona,0.0,2026-05-20T16:16:23Z,2026-05-20T19:25:00Z,2026-05-20T18:18:17
fb971887-fb5f-4f70-9ee3-51f98e2df1f0,N177,Düsseldorf central bus station,Düsseldorf - Genoa,,,2026-05-20T19:30:00Z,2026-05-20T18:18:17
0aa24a02-20c3-4546-a0da-7204720f792e,N728,Munich central bus station,Munich/Genoa - Barcelona,0.0,2026-05-20T06:52:32Z,2026-05-20T21:05:00Z,2026-05-20T18:18:17
3e59c7ef-b056-405d-a477-9fe1df21eeb9,N504,Perugia (Piazza Partigiani),Geneva - Turin - Perugia,0.0,2026-05-20T16:09:23Z,2026-05-20T21:20:00Z,2026-05-20T18:18:17
7208b413-3c32-4f06-b37f-9ddcaf340790,N503,Rome Tiburtina Bus station,Turin - Genoa - Rome,,,2026-05-20T21:55:00Z,2026-05-20T18:18:17
4a8a8865-2806-4f83-869e-bda601b25a60,501,Turin (Vittorio Emanuele),Turin - Naples,0.0,2026-05-20T16:25:24Z,2026-05-20T17:55:00Z,2026-05-20T18:28:17
c36a991e-02a2-4da2-b7b0-6a0bf3f1979f,N758,Barcelona (Bus Terminal Nord),Florence - Barcelona,0.0,2026-05-20T16:27:23Z,2026-05-20T19:25:00Z,2026-05-20T18:28:17
fb971887-fb5f-4f70-9ee3-51f98e2df1f0,N177,Düsseldorf central bus station,Düsseldorf - Genoa,,,2026-05-20T19:30:00Z,2026-05-20T18:28:17
0aa24a02-20c3-4546-a0da-7204720f792e,N728,Munich central bus station,Munich/Genoa - Barcelona,0.0,2026-05-20T06:52:32Z,2026-05-20T21:05:00Z,2026-05-20T18:28:17
3e59c7ef-b056-405d-a477-9fe1df21eeb9,N504,Perugia (Piazza Partigiani),Geneva - Turin - Perugia,0.0,2026-05-20T16:09:23Z,2026-05-20T21:20:00Z,2026-05-20T18:28:17
7208b413-3c32-4f06-b37f-9ddcaf340790,N503,Rome Tiburtina Bus station,Turin - Genoa - Rome,,,2026-05-20T21:55:00Z,2026-05-20T18:28:17
4a8a8865-2806-4f83-869e-bda601b25a60,501,Turin (Vittorio Emanuele),Turin - Naples,0.0,2026-05-20T16:39:05Z,2026-05-20T17:55:00Z,2026-05-20T18:38:18
c36a991e-02a2-4da2-b7b0-6a0bf3f1979f,N758,Barcelona (Bus Terminal Nord),Florence - Barcelona,0.0,2026-05-20T16:39:25Z,2026-05-20T19:25:00Z,2026-05-20T18:38:18
fb971887-fb5f-4f70-9ee3-51f98e2df1f0,N177,Düsseldorf central bus station,Düsseldorf - Genoa,,,2026-05-20T19:30:00Z,2026-05-20T18:38:18
0aa24a02-20c3-4546-a0da-7204720f792e,N728,Munich central bus station,Munich/Genoa - Barcelona,0.0,2026-05-20T06:52:32Z,2026-05-20T21:05:00Z,2026-05-20T18:38:18
3e59c7ef-b056-405d-a477-9fe1df21eeb9,N504,Perugia (Piazza Partigiani),Geneva - Turin - Perugia,0.0,2026-05-20T16:09:23Z,2026-05-20T21:20:00Z,2026-05-20T18:38:18
7208b413-3c32-4f06-b37f-9ddcaf340790,N503,Rome Tiburtina Bus station,Turin - Genoa - Rome,,,2026-05-20T21:55:00Z,2026-05-20T18:38:18
263b8f42-2e96-46c4-a3c0-85574aac8053,N482,Zagreb (bus station),Marseille - Zagreb,0.0,2026-05-20T15:20:46Z,2026-05-20T22:30:00Z,2026-05-20T18:38:18
4a8a8865-2806-4f83-869e-bda601b25a60,501,Turin (Vittorio Emanuele),Turin - Naples,0.0,2026-05-20T16:49:18Z,2026-05-20T17:55:00Z,2026-05-20T18:48:18
c36a991e-02a2-4da2-b7b0-6a0bf3f1979f,N758,Barcelona (Bus Terminal Nord),Florence - Barcelona,0.0,2026-05-20T16:49:55Z,2026-05-20T19:25:00Z,2026-05-20T18:48:18
fb971887-fb5f-4f70-9ee3-51f98e2df1f0,N177,Düsseldorf central bus station,Düsseldorf - Genoa,,,2026-05-20T19:30:00Z,2026-05-20T18:48:18
